Entrée,partie du discours,Terme relié,partie du discours,relation
abiotique,JJ,biotique,JJ,ANTI
agricole,JJ,piscicole,JJ,ANTI
alternatif,JJ,traditionnel,JJ,ANTI
alternatif,JJ,continu,JJ,ANTI
anthropique,JJ,naturel,JJ,ANTI
biotique,JJ,abiotique,JJ,ANTI
chaud,JJ,froid,JJ,ANTI
collectif,JJ,individuel,JJ,ANTI
environnemental,JJ,polluant,JJ,ANTI
fossile,JJ,renouvelable,JJ,ANTI
froid,JJ,chaud,JJ,ANTI
global,JJ,local,JJ,ANTI
global,JJ,régional,JJ,ANTI
humain,JJ,naturel,JJ,ANTI
humide,JJ,sec,JJ,ANTI
industriel,JJ,naturel,JJ,ANTI
jetable,JJ,recyclable,JJ,ANTI
lacustre,JJ,terrestre,JJ,ANTI
local,JJ,mondial,JJ,ANTI
local,JJ,global,JJ,ANTI
local,JJ,planétaire,JJ,ANTI
lourd,JJ,léger,JJ,ANTI
léger,JJ,lourd,JJ,ANTI
mondial,JJ,local,JJ,ANTI
naturel,JJ,humain,JJ,ANTI
naturel,JJ,anthropique,JJ,ANTI
planétaire,JJ,régional,JJ,ANTI
planétaire,JJ,local,JJ,ANTI
polaire,JJ,tropical,JJ,ANTI
polluant,JJ,environnemental,JJ,ANTI
polluant,JJ,vert,JJ,ANTI
polluant,JJ,propre,JJ,ANTI
polluant,JJ,écologique,JJ,ANTI
propre,JJ,polluant,JJ,ANTI
recyclable,JJ,jetable,JJ,ANTI
renouvelable,JJ,fossile,JJ,ANTI
régional,JJ,global,JJ,ANTI
régional,JJ,mondial,JJ,ANTI
régional,JJ,planétaire,JJ,ANTI
réutilisable,JJ,jetable,JJ,ANTI
stable,JJ,variable,JJ,ANTI
terrestre,JJ,aquatique,JJ,ANTI
terrestre,JJ,lacustre,JJ,ANTI
terrestre,JJ,marin,JJ,ANTI
urbain,JJ,rural,JJ,ANTI
variable,JJ,stable,JJ,ANTI
vert,JJ,polluant,JJ,ANTI
végétal,JJ,animal,JJ,ANTI
écologique,JJ,polluant,JJ,ANTI
anthropique,JJ,humain,JJ,QSYN
aquatique,JJ,océanique,JJ,QSYN
aquatique,JJ,marin,JJ,QSYN
atmosphérique,JJ,stratosphérique,JJ,QSYN
biodégradable,JJ,organique,JJ,QSYN
biotique,JJ,écologique,JJ,QSYN
cinétique,JJ,électrique,JJ,QSYN
climatique,JJ,météorologique,JJ,QSYN
collectif,JJ,public,JJ,QSYN
durable,JJ,rationnel,JJ,QSYN
développé,JJ,riche,JJ,QSYN
environnemental,JJ,écologique,JJ,QSYN
environnemental,JJ,propre,JJ,QSYN
environnemental,JJ,vert,JJ,QSYN
ferroviaire,JJ,routier,JJ,QSYN
ferroviaire,JJ,ferré,JJ,QSYN
ferré,JJ,ferroviaire,JJ,QSYN
fragile,JJ,sensible,JJ,QSYN
fragile,JJ,vulnérable,JJ,QSYN
frais,JJ,froid,JJ,QSYN
froid,JJ,frais,JJ,QSYN
gazier,JJ,pétrolier,JJ,QSYN
global,JJ,mondial,JJ,QSYN
global,JJ,planétaire,JJ,QSYN
humain,JJ,anthropique,JJ,QSYN
humide,JJ,tourbeux,JJ,QSYN
hydroélectrique,JJ,électrique,JJ,QSYN
intense,JJ,violent,JJ,QSYN
inépuisable,JJ,renouvelable,JJ,QSYN
lacustre,JJ,marin,JJ,QSYN
lacustre,JJ,fluvial,JJ,QSYN
local,JJ,régional,JJ,QSYN
marin,JJ,océanique,JJ,QSYN
marin,JJ,aquatique,JJ,QSYN
mondial,JJ,planétaire,JJ,QSYN
mondial,JJ,global,JJ,QSYN
météorologique,JJ,climatique,JJ,QSYN
nocif,JJ,néfaste,JJ,QSYN
océanique,JJ,marin,JJ,QSYN
organique,JJ,biologique,JJ,QSYN
organique,JJ,biodégradable,JJ,QSYN
photovoltaïque,JJ,solaire,JJ,QSYN
photovoltaïque,JJ,pv,JJ,QSYN
planétaire,JJ,global,JJ,QSYN
planétaire,JJ,mondial,JJ,QSYN
polluant,JJ,toxique,JJ,QSYN
propre,JJ,vert,JJ,QSYN
propre,JJ,rationnel,JJ,QSYN
propre,JJ,environnemental,JJ,QSYN
propre,JJ,écologique,JJ,QSYN
public,JJ,collectif,JJ,QSYN
pétrolier,JJ,gazier,JJ,QSYN
rationnel,JJ,durable,JJ,QSYN
rationnel,JJ,propre,JJ,QSYN
renouvelable,JJ,inépuisable,JJ,QSYN
routier,JJ,ferroviaire,JJ,QSYN
régional,JJ,local,JJ,QSYN
réutilisable,JJ,recyclable,JJ,QSYN
sensible,JJ,fragile,JJ,QSYN
sensible,JJ,vulnérable,JJ,QSYN
solaire,JJ,thermique,JJ,QSYN
stratosphérique,JJ,atmosphérique,JJ,QSYN
thermique,JJ,marin,JJ,QSYN
thermique,JJ,solaire,JJ,QSYN
tourbeux,JJ,humide,JJ,QSYN
toxique,JJ,nocif,JJ,QSYN
toxique,JJ,polluant,JJ,QSYN
tropical,JJ,subtropical,JJ,QSYN
vert,JJ,environnemental,JJ,QSYN
vert,JJ,propre,JJ,QSYN
vert,JJ,écologique,JJ,QSYN
violent,JJ,intense,JJ,QSYN
violent,JJ,grave,JJ,QSYN
vulnérable,JJ,sensible,JJ,QSYN
vulnérable,JJ,fragile,JJ,QSYN
écologique,JJ,propre,JJ,QSYN
écologique,JJ,écolo,JJ,QSYN
écologique,JJ,vert,JJ,QSYN
écologique,JJ,environnemental,JJ,QSYN
écologique,JJ,biotique,JJ,QSYN
écologiste,JJ,environnementaliste,JJ,QSYN
absorption,NN,émission,NN,ANTI
absorption,NN,libération,NN,ANTI
accélération,NN,ralentissement,NN,ANTI
amplification,NN,atténuation,NN,ANTI
animal,NN,végétal,NN,ANTI
arrêt,NN,démarrage,NN,ANTI
atmosphère,NN,terre,NN,ANTI
atténuation,NN,amplification,NN,ANTI
augmentation,NN,baisse,NN,ANTI
augmentation,NN,diminution,NN,ANTI
baisse,NN,croissance,NN,ANTI
baisse,NN,élévation,NN,ANTI
banlieue,NN,ville,NN,ANTI
boisement,NN,déboisement,NN,ANTI
charge,NN,décharge,NN,ANTI
conducteur,NN,passager,NN,ANTI
consommateur,NN,producteur,NN,ANTI
consommation,NN,alimentation,NN,ANTI
continent,NN,océan,NN,ANTI
croissance,NN,diminution,NN,ANTI
croissance,NN,décroissance,NN,ANTI
croissance,NN,baisse,NN,ANTI
diminution,NN,croissance,NN,ANTI
diminution,NN,hausse,NN,ANTI
diminution,NN,augmentation,NN,ANTI
déboisement,NN,boisement,NN,ANTI
déboisement,NN,reboisement,NN,ANTI
décharge,NN,charge,NN,ANTI
décharge,NN,recharge,NN,ANTI
dégel,NN,gel,NN,ANTI
démarrage,NN,arrêt,NN,ANTI
déplacement,NN,transport,NN,ANTI
eau,NN,air,NN,ANTI
eau,NN,terre,NN,ANTI
enfouissement,NN,récupération,NN,ANTI
faune,NN,flore,NN,ANTI
flore,NN,faune,NN,ANTI
fonte,NN,gel,NN,ANTI
gel,NN,dégel,NN,ANTI
gel,NN,fonte,NN,ANTI
homme,NN,nature,NN,ANTI
inondation,NN,sécheresse,NN,ANTI
libération,NN,absorption,NN,ANTI
libération,NN,piégeage,NN,ANTI
mer,NN,terre,NN,ANTI
nature,NN,homme,NN,ANTI
passager,NN,conducteur,NN,ANTI
piégeage,NN,libération,NN,ANTI
plante,NN,animal,NN,ANTI
pollution,NN,dépollution,NN,ANTI
pôle,NN,tropique,NN,ANTI
ralentissement,NN,accélération,NN,ANTI
reboisement,NN,déboisement,NN,ANTI
refroidissement,NN,réchauffement,NN,ANTI
réchauffement,NN,refroidissement,NN,ANTI
récupération,NN,élimination,NN,ANTI
sécheresse,NN,inondation,NN,ANTI
terre,NN,mer,NN,ANTI
terre,NN,eau,NN,ANTI
terre,NN,soleil,NN,ANTI
terre,NN,atmosphère,NN,ANTI
transport,NN,déplacement,NN,ANTI
