MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
atmosphère sous forme,N P N,terre en forme,N P N,atmosphère,terre,ANTI
augmentation rapide,N A,baisse rapide,N A,augmentation,baisse,ANTI
eau dans les zones,N P N,zones de terre,N P N,eau,terre,ANTI
produits de récupération,N P N,élimination des produits,N P N,récupération,élimination,ANTI
place sur terre,N P N,place au soleil,N P N,terre,soleil,ANTI
augmentation de la fertilité,N P N,diminution de la fertilité,N P N,augmentation,diminution,ANTI
tendance à la diminution,N P N,tendance à la hausse,N P N,diminution,hausse,ANTI
augmentation de la production,N P N,diminution de la production,N P N,augmentation,diminution,ANTI
augmentation de la population,N P N,diminution de la population,N P N,augmentation,diminution,ANTI
pollution par les eaux,N P N,dépollution des eaux,N P N,pollution,dépollution,ANTI
homme libre,N A,nature libre,N A,homme,nature,ANTI
augmentation des ges,N P N,diminution des ges,N P N,augmentation,diminution,ANTI
eau dans la mer,N P N,eau de la terre,N P N,mer,terre,ANTI
eau en matière,N P N,matière de terre,N P N,eau,terre,ANTI
niveau local,N A,niveau planétaire,N A,local,planétaire,ANTI
homme à la place,N P N,place dans la nature,N P N,homme,nature,ANTI
croissance démographique,N A,décroissance démographique,N A,croissance,décroissance,ANTI
absorption du co2,N P N,libération de co2,N P N,absorption,libération,ANTI
baisse du taux,N P N,élévation du taux,N P N,baisse,élévation,ANTI
eau dans les zones,N P N,air dans les zones,N P N,eau,air,ANTI
élévation du niveau,N P N,diminution du niveau,N P N,élévation,diminution,ANTI
augmentation de la capacité,N P N,diminution de la capacité,N P N,augmentation,diminution,ANTI
baisse annuelle,N A,croissance annuelle,N A,baisse,croissance,ANTI
pertes en eau,N P N,pertes en terre,N P N,eau,terre,ANTI
parc terrestre,N A,parc aquatique,N A,terrestre,aquatique,ANTI
faune présente,N A,flore présente,N A,faune,flore,ANTI
baisse du tourisme,N P N,croissance du tourisme,N P N,baisse,croissance,ANTI
augmentation récente,N A,diminution récente,N A,augmentation,diminution,ANTI
croissance de la température,N P N,diminution de la température,N P N,croissance,diminution,ANTI
diminution des émissions,N P N,hausse des émissions,N P N,diminution,hausse,ANTI
monde humain,N A,monde naturel,N A,humain,naturel,ANTI
eau cours,N N,air en cours,N P N,eau,air,ANTI
eau à travers,N P N,air au travers,N P N,eau,air,ANTI
plan collectif,N A,plan individuel,N A,collectif,individuel,ANTI
augmentation des dépenses,N P N,diminution des dépenses,N P N,augmentation,diminution,ANTI
produits de la mer,N P N,produits de la terre,N P N,mer,terre,ANTI
eau en région,N P N,région terre,N N,eau,terre,ANTI
compte de la croissance,N P N,compte de la diminution,N P N,croissance,diminution,ANTI
croissance de la consommation,N P N,diminution de la consommation,N P N,croissance,diminution,ANTI
